id,sender,body,type
2630,AX-SBIUPI,Dear UPI user A/C X7819 debited by 40.0 on date 07Oct23 trf to PRAMOD SRIRAM PR Refno 328038892899. If not u? call 1800111109. -SBI,banking
2631,CP-SBIUPI,Dear UPI user A/C X7819 debited by 45.0 on date 07Oct23 trf to SUNRISE MARKET Refno 328040246592. If not u? call 1800111109. -SBI,banking
2632,AZ-650024,"Airtel Prepaid anubhav ko apne dost aur pariwar ke saath sajha karein. Abhi order karein aur free SIM delivery ka anand lein. Order karne ke liye, click i.airtel.in/ret21",spam
2633,AD-ATMSBI,"Dear Customer, Your SBI Debit Card ending 4184 is not active for Domestic ECOM transactions. Kindly use YONO/YONOlite/INB/IVR/ATM or visit Branch to enable it.",spam
2634,9223966666,swon ecom 4184,spam
2635,VM-SBIPSG,"Dear Customer, this facility is not available through SMS mode, kindly use YONO / YONO lite / INB / IVR / ATM or visit Branch for availing facility to switch-on / switch-off - SBI",spam
2636,JK-SBIINB,"Dear Customer, OTP to login to SBI Internet banking(Personal) is 649300. Do not share with anyone. -SBI",otp
2637,JK-SBIINB,"Dear Customer, OTP to change SBI Internet Banking Login Password is 102652. Do not share with anyone. -SBI",otp
2638,JK-SBIINB,"Dear Customer, You have successfully changed your SBI Netbanking Login password on 07/10/2023 at 20:00 PM IST. Do not share with anyone. -SBI",spam
2639,AD-SBIINB,"Dear Customer, OTP to login to SBI Internet banking(Personal) is 200739. Do not share with anyone. -SBI",otp
2640,JK-SBIINB,OTP to change SBI Internet Banking Profile Password is 247471. Do not share with anyone.-SBI,otp
2641,AD-SBIINB,"Dear Customer, OTP to login to SBI Internet banking(Personal) is 917398. Do not share with anyone. -SBI",otp
2642,JK-SBIINB,"Dear Customer, OTP to upgrade usage of ATM card ending 4184 is 608108. Do not share with anyone. -SBI",otp
2643,JM-GKKWIK,2094 is your login OTP. It is valid for next 5 minutes. Do not share your OTP with anyone.Powered by GoKwik! @www.snitch.co.in #2094,otp
2644,GKKWIK,Payment requested: SNITCH has requested a payment of INR 2292.45 on Gokwik. Click here to complete the payment: https://kwik.pe/OnBYl6,spam
2645,GKKWIK,"Dear Rohan, your payment for SNITCH order KWIK8CCKO1TM9433117 could not be completed. Any amount if debited will get refunded within 4-7 days.Powered by Gokwik!",spam
2646,JK-SBIINB,"Dear Customer, OTP to login to SBI Internet banking(Personal) is 634134. Do not share with anyone. -SBI",otp
2647,AD-650022,"Unlock amazing Wi-Fi coverage in the favourite corner of your home with Wi-Fi Coverage+ by Airtel Xstream Fiber. At just Rs 99/month, enjoy superfast Wi-Fi in every corner of your house! Visit i.airtel.in/Coverage",spam
2648,GKKWIK,Payment requested: SNITCH has requested a payment of INR 2292.45 on Gokwik. Click here to complete the payment: https://kwik.pe/NQi1BJ,spam
2649,JM-ICICIB,ICICI Bank Acct XX977 debited for Rs 2292.45 on 07-Oct-23; SNITCH credited. UPI:328013315663. Call 18002662 for dispute. SMS BLOCK 977 to 9215676766.,banking
2650,JM-IMSIND,"Don't miss IMS webinar, The B-School Insider |SIBM Pune|SNAP |CAT| Placements | Selection Process|Today at 11 AM. Register: https://tinyurl.com/TBSI-SIBM",spam
2651,AZ-650024,"Aap Scam 2003 - The Telgi Story aur The Jengaburu Curse jaise dekhe Jane vale show Miss kar rahein hai!Payein Airtel Xstream Play aur Anand lein 15+ OTTs saath hi Sony LIV, Eros Now, Lionsgate Play, hoichoi, Chaupal aur bahut kuch. Dekhein movie, web series aur bahut kuch sabhi ek hi app mein. Abhi Download karein open.airtelxstream.in/XPPSSia",spam
2652,BH-EPFOHO,"Dear XXXXXXXX8050,your passbook balance against PUPUN18206340000010034 is Rs. 12,546/-. Contribution of Rs. 1,567/- for due month Sep-23 has been received.",banking
2653,AD-650022,"Wi-Fi connectivity, even without electricity!Yes, you heard it right! Enjoy internet even during power-cuts for up to 4 hrs with Airtel Xstream Wi-Fi Power Backup & get 1 yr warranty.To know more, visit i.airtel.in/Get-ups1",spam
2654,SIUedu,Last few hours left to register for webinar hosted by Symbiosis NOIDA on 9 Oct @ 2 PM. Know about pursuing MBA @ SIBM NOIDA. Register Now: bit.ly/SIBMNw23,spam
2655,SYMADM,Hurry! Don't miss the exclusive webinar by SIBM NOIDA. Starts today at 2 PM. Register now - bit.ly/SIBMNw23,spam
2656,TM-SYMADM,Hurry! Don't miss the exclusive webinar by SIBM NOIDA. Starts today at 2 PM. Register now - bit.ly/SIBMNw23,spam
2657,JK-SBIUPI,Dear UPI user A/C X7819 debited by 85.0 on date 09Oct23 trf to NEW A D MART Refno 328209127772. If not u? call 1800111109. -SBI,banking
2658,SIUedu,The webinar conducted by SIBM NOIDA for MBA Programmes is Live. You can still join and clear your doubts about SIBM NOIDA. Join Now: bit.ly/SIBMNw23,spam
2659,AZ-AIRTEL,Badhai ho! FREE 2GB data coupon aapka hai!Abhi Claim karein Airtel Thanks App par. Jaldi karein i.airtel.in/2GB_FR,spam
2660,AD-650025,"Watch Asian Games for free!Your 30 days of FREE Airtel Xstream Play access is NOW ACTIVE!Get 15+ OTTs - Sony Live, LionsgatePlay, Fancode & more! Limited time offer. Click Below!  https://open.airtelxstream.in/WatchForFree-sms",spam
2661,SYMSIU,Symbiosis SSBF is hosting a webinar on 14 October @ 2:30 PM. Become a business leader in BFSI Sector. Register Now: bit.ly/3Q6DbLe,spam
2662,JK-SBIINB,"Dear Customer, OTP to approve transaction of Rs. 3304.00 from your A/c No. ending 7819 to Graduate Management Admission  is 619723. Do not share with anyone. -SBI",otp
2663,VM-SBIINB,"Dear Customer, Thx for INB txn of Rs.3304 frm A/c X7819 to Graduate M. Ref IGAQHJEFQ6 on 10Oct23. If not done, fwd this SMS to 9223008333 to block INB or call 1800111109-SBI",banking
2664,AX-NMIMSU,"Hello, 597252 is your One Time Password (OTP) for NMIMS University This OTP is valid till 11:38 AM - Team NMIMS",otp
2665,CP-ISHINF,"SIDTMs MBA-DTM. 3 specializations Highest 28 LPA, Avg LPA Top 75 14.9 Freshers 11.7Lateral 14.13 LPA https://bit.ly/3EZk4MW ISHINF",spam
2666,TX-NMIMSU,SVKM's NMIMS - LAST DAY TODAY! MBA registrations closing on 10th October. To apply now Visit: https://npfs.in/2377bReEP,spam
2667,AD-ARWINF,"Unlock FREE 2GB on Airtel Thanks App!Claim now, Click i.airtel.in/data_2gb",spam
2668,AZ-650024,Payein Rs300 ka discount apne agle recharge par!Airtel Thanks App par aaj hi apne doston ko koi bhi Airtel service refer kareinAbhi refer karein- i.airtel.in/Act_no5g,spam
2669,TX-NMIMSU,SVKM's NMIMS - LAST DAY TODAY! MBA registrations closing on 10th October. To apply now Visit: https://npfs.in/o8c0bREe8,spam
2670,AX-SBIUPI,Dear UPI user A/C X7819 debited by 2600.0 on date 10Oct23 trf to SHRI VILEPARLE K Refno 328332288322. If not u? call 1800111109. -SBI,banking
2671,AD-SBIUPI,"Dear SBI UPI User, ur A/cX7819 credited by Rs1000 on 10Oct23 by  (Ref no 328336021668)",banking
2672,TX-NMIMSU,"SVKM's NMIMS, Your transaction completed successfully. Check Email for details.",spam
2673,AX-SBIUPI,Dear UPI user A/C X7819 debited by 1100.0 on date 10Oct23 trf to Vivek  Kumar Refno 328351514139. If not u? call 1800111109. -SBI,banking
2674,AD-SBIUPI,Dear UPI user A/C X7819 debited by 106.0 on date 10Oct23 trf to A D Mart Refno 328354581203. If not u? call 1800111109. -SBI,banking
2675,SYMSIU,Symbiosis SSBF is hosting a webinar on 14th Oct 2:30. Become a business leader in BFSI Sector. Register Now: bit.ly/3Q6DbLe,spam
2676,AD-650025,"Hi Valued Airtel Customer , Airtel Axis Bank Credit Card offers a credit limit of up to Rs 500000, 10% cashback on Swiggy, Zomato, BigBasket orders & many more benefits.  Apply today https://i.airtel.in/ClaimYourCreditCard6",spam
2678,AX-SBIUPI,Dear UPI user A/C X7819 debited by 54.0 on date 11Oct23 trf to Mr AVINASH CHAND Refno 328499898575. If not u? call 1800111109. -SBI,banking
2679,BP-DOMINO,"Enjoy the All New Domino's Pizza. Your order no is 37. Click https://ps.jublfood.net/di/692690617219575184.png for your invoice",spam
2680,VK-DOMINO,"Dear guest, your Domino's order is out for delivery. Click on tinyurl.com/ylksal7g to track it.",spam
2681,AD-SBIUPI,Dear UPI user A/C X7819 debited by 841.0 on date 11Oct23 trf to Vijay Kumar Chau Refno 328484394128. If not u? call 1800111109. -SBI,banking
2682,SYMSIU,"Symbiosis SIMC offered INR 20.5 LPA highest CTC. With strong industry presence, they offer jobs in firms like HT, News18, GroupM, etc. Apply Now: bit.ly/3rOcamC",spam
2683,AX-SBIUPI,Dear UPI user A/C X7819 debited by 177.0 on date 12Oct23 trf to SURESH SHAMRAO P Refno 328502250805. If not u? call 1800111109. -SBI,banking
2684,AD-650022,Congratulations! You have unlocked FREE Installation of Airtel Xsafe wifi-based security cameras. Now monitor your home/office from anywhere @just Rs.119 per month. Book now! i.airtel.in/Safety,spam
2685,AD-SBIUPI,"Dear SBI UPI User, ur A/cX7819 credited by Rs1100 on 12Oct23 by  (Ref no 328507230002)",banking
2686,VK-CRACKU,Cracku: Get 5 NMAT Adaptive mocks in the latest pattern for just Rs 499: https://cracku.in/pay/finY3,spam
2687,MYLEVE,"₹1 EntryFee, ₹5.80 Cr+ Prizes!Play Fantasy WorldCup Match! Make your team-https://a.1rp.in/1/ZiQK5W",spam
2688,SMRTLG,Your Smartr shipment AWB no. XSE10003039738 will be delivered today. Track at https://smartr.in/tracking?awb=XSE10003039738 Smartr Logistics,spam
2689,JM-SHPRKT,Arriving Today : Your order from SNITCH APPARELS PRIVATE.. containing Lining Black Shirt and 2 o... will be delivered by Smartr Logistics delivery executive . Track your order https://shprkt.in/j1XWZydsiIVX. -Shiprocket,spam
2690,AX-SBIUPI,Dear UPI user A/C X7819 debited by 55.0 on date 12Oct23 trf to MANGILAL P CHOUD Refno 365113833024. If not u? call 1800111109. -SBI,banking
2691,SMRTRL,Your Smartr shipment AWB no. XSE10003039738 was delivered to ROHAN. Call 18602101999 to book a new shipment.,spam
2692,SYMSIU,Symbiosis SSBF is hosting a webinar on 14th Oct @ 2:30. Become a business leader in BFSI Sector. Register Now: bit.ly/3Q6DbLe,spam
2693,AZ-AIRTEL,Badhai ho! FREE 2GB data coupon aapka hai!Abhi Claim karein Airtel Thanks App par. Jaldi karein i.airtel.in/2GB_FR,spam
2694,CP-ISHINF,Symbiosis SIHS is hosting a webinar on 18 October @3PM.Take a step towards becoming a healthcare management leader. Register Now:https://bit.ly/3LWVDUp ISHINF,spam
2695,LNKART,"Dear Customer, 2 hottest eyewear @ 1700 from Lenskart Big Festive Bash & slay in style, this festive season. Shop Now. TnC Store lskt.me/m8App lskt.me/q8",spam
2696,CP-ISHINF,Join SIDTM Pune's live session on 14 Oct 23 @7pm. Explore strategies & assess your readiness for SNAP. Tune in to SIDTM's YouTube https://bit.ly/3RSX89R ISHINF,spam
2697,AZ-650024,"Amazon Prime, SonyLiv aur 15+ anya OTT ab aapke hain!Aaj hi book karein Airtel Xstream TV box sirf Rs1500 mein!Paane ke liye click karein i.airtel.in/Online-Savvy",spam
2698,SYMSIU,Only 1 Day left for the webinar hosted by expert Symbiosis faculty. Learn all about pursuing MBA (B&F) @ SSBF. Register Now: bit.ly/3Q6DbLe,spam
2699,CP-SBIUPI,Dear UPI user A/C X7819 debited by 1000.0 on date 13Oct23 trf to RISHABH RAMESH K Refno 328667593355. If not u? call 1800111109. -SBI,banking
2700,AX-EASEBZ,"Dear Customer, Thank you for making a successful transaction. Your transaction with TXN ID: E231013NESGLDQ has been successfully processed. Your amount deducted is Rs. 499.0 -Easebuzz",spam
2701,MAXFSN,"Here's FLAT 10% OFF ONLY FOR YOU on ALL Max Fashion Merchandise!It's time to dress our best this festive season.Use Code: 739AJVGValidity: 16, OctTnC",spam
2702,VK-NSESMS,"NEXTBILLION TECHNOLOGY PRIVATE on 23-09-23 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",banking
2703,JM-IMSIND,"Attend IMS webinar, The B-School Insider|SJMSOM IIT Bombay |CAT| Placements | Selection Process | 15 Oct @ 11 AM. Click: https://tinyurl.com/TBSI-SOM",spam
2704,AD-AIRTEL,"Do not miss out on superior indoor coverage with Airtel WiFi Calling! For better experience, change your smartphone settings today. Click u.airtel.in/hKOOl5",spam
2705,SYMSIU,Symbiosis SSBF webinar on Introduction to model of banks is now Live! Join now to make the most of it. Click to join: bit.ly/3LZXB6e,spam
2706,AZ-650024,"Behtareen Airtel Black anubhav ko miss na krein! Rozana data limit ko alwida kahein aur unlimited data, OTT subscription, TV channel aur superfast Wi-Fi ka anand lein. Adhik jankaari ke liye link par click karein i.airtel.in/blackDPB",spam
2707,VK-Shksha,"Dear Yono Games Aspirant, Rs100 has been credited to your account for playing games & win bonus. Reg now https://yonowin.com/",spam
2708,AZ-AIRTEL,Data quota left 500 MB: You are left with 500MB of highspeed data on your Airtel number.,spam
2709,SYMSIU,Looking for managerial opportunities with reputed media companies? Symbiosis SIMC Pune is the best place. Register today for the MBA (CM) Programme. Visit: bit.ly/3M4klSD,spam
2710,AX-IMSIND,"Don't miss IMS webinar, The B-School Insider |SJMSOM IIT Bombay |CAT| Placements | Selection Process |Today @ 11 AM. Register: https://tinyurl.com/TBSI-SOM",spam
2711,JD-SBIUPI,Dear UPI user A/C X7819 debited by 40.0 on date 15Oct23 trf to KADLAK SUSHIL VI Refno 328814778012. If not u? call 1800111109. -SBI,banking
2712,AD-650025,"Watch Asian Games for free!Your 30 days of FREE Airtel Xstream Play access is NOW ACTIVE!Get 15+ OTTs - Sony Live, LionsgatePlay, Fancode & more! Limited time offer. Click Below!  https://open.airtelxstream.in/WatchForFree-sms",spam
2713,AZ-ARWYNK,"Rs10,000 tak ke headphone ab aapke hue!#CheerIndiaContest mein pravesh karne ke liye bas 'Chakde India' ko apni hellotune ke roop mein set karein aur premium ki taraf jayein!Adhik jaankaari ke liye, open.wynk.in/wc3 par jayein",spam
2714,CP-ISHINF,"Join SIDTM and C2CMentors, and learn about an ideal MBA selection profile along with placements at SIDTM @8 pm 20/10/2023. https://bit.ly/3QkotQQ ISHINF",spam
2715,VK-CRACKU,Cracku SNAP 2023 crash course is out. Enroll here: https://cracku.in/snap-crash-course,spam
2716,9960712184,Hi,spam
2717,AZ-AIRINF,"Hi, we have processed Rs. 179.0 for your Airtel Mobile 9960712184. The payment will be updated within 1 hrs. Please keep your order ID 7119970124410429440 for future reference. Track your payment status via  https://i.airtel.in/Recharge-Bills",spam
2718,9960712184,Hi,spam
2719,9.19961E+11,Hi,spam
2720,9.19961E+11,Recharge done,spam
2721,9.19961E+11,That's why otp was not coming ,otp
2722,AZ-650024,Aap jaise data lover ke liye khaas data pack! Rs181 ke Airtel pack ke saath 30 din ke liye 1GB/din ka anand lein. Benefit maujooda UL pack benefit ke atirikt hai. i.airtel.in/RC181,spam
2723,Credit Card,"Your SBI Credit Card is ready to be dispatched Approval within 7 days Apply now by clicking here 0kb.in/s/1Rhc11mT&C Apply.",spam
2724,AD-AIRTEL,"Service Update: To improve your experience, we are undertaking a regular maintenance activity. You may experience service disruption on your Airtel Xstream Fiber services on 18 October 2023 from 12:00 AM to 3:00 AM. Inconvenience caused is regretted.",spam
2725,AX-unibep,"Dear Rohan Kavari, you're shortlisted for Job Guarantee Program by the recruiter. Details https://prlf.link/ZkbV Beep",spam
2726,AX-SBIBNK,"Dear Customer, Get life cover upto Rs. 40 lacs* instantly without medical test or document. Login to YONO SBI & Check Offer Banner at homepage. *T&Cs Apply-SBI",spam
2727,CP-ISHINF,Join Symbiosis SIHS webinar today @3 PM! Start your journey towards healthcare management leadership. Register Now: https://bit.ly/3LWVDUp ISHINF,spam
2728,AZ-AIRINF,"Hi, we have processed Rs. 65.0 for your Airtel Mobile 7219575184. The payment will be updated within 1 hrs. Please keep your order ID 7120297130473881600 for future reference. Track your payment status via  https://i.airtel.in/Recharge-Bills",spam
2729,Airtel,"Recharge of INR 65.00 is successful for your Airtel Mobile on 18-10-2023 12:09, Transaction ID 1257078242.Check your balance, validity, tariff and best recharges on Airtel Thanks App. Would you like to refer Airtel Prepaid to your friends & family and save Rs100 on your next recharge? Click i.airtel.in/ref",bill
2730,Airtel,"Enjoy 4GB data valid till your current pack validity.Also get EXTRA 2GB on your next recharge of Rs65 for your Airtel Mobile, only on Airtel Thanks App. Click i.airtel.in/rech_now",spam
2731,AX-SBIUPI,Dear UPI user A/C X7819 debited by 614.0 on date 18Oct23 trf to CAFE ARABIA Refno 329114719750. If not u? call 1800111109. -SBI,banking
2732,AZ-650024,"Aap Scam 2003 - The Telgi Story aur The Jengaburu Curse jaise dekhe Jane vale show Miss kar rahein hai!Payein Airtel Xstream Play aur Anand lein 15+ OTTs saath hi Sony LIV, Eros Now, Lionsgate Play, hoichoi, Chaupal aur bahut kuch. Dekhein movie, web series aur bahut kuch sabhi ek hi app mein. Abhi Download karein open.airtelxstream.in/XPPSSia",spam
2733,AD-SBIUPI,Dear UPI user A/C X7819 debited by 1408.0 on date 18Oct23 trf to LIFE STYLE INTER Refno 365793178224. If not u? call 1800111109. -SBI,banking
2734,CP-MAXFSN,Dear Rohan  KavariThanks for shopping @Max! Click on the link below to get your E-Invoice & SURPRISE offers on Max Fashion WhatsApp! https://bit.ly/3mlMW8f,spam
2735,AX-MAXFSN,"Dear Rohan , Hope you enjoyed your shopping at Max Fashion! We'd love to hear about your experience. Click  https://od.vg/omdwbTa",spam
2736,AD-SBIUPI,Dear UPI user A/C X7819 debited by 163.0 on date 19Oct23 trf to Shendkar Shivaji Refno 365876400992. If not u? call 1800111109. -SBI,banking
2737,AZ-650024,Aap jaise data lover ke liye khaas data pack! Rs181 ke Airtel pack ke saath 30 din ke liye 1GB/din ka anand lein. Benefit maujooda UL pack benefit ke atirikt hai. i.airtel.in/RC181,spam
2738,AD-SBIUPI,Dear UPI user A/C X7819 debited by 80.0 on date 19Oct23 trf to Royal food mart Refno 329281010551. If not u? call 1800111109. -SBI,banking
2739,AD-AIRTEL,"Service Update: To improve your experience, we are undertaking a regular maintenance activity. You may experience service disruption on your Airtel Xstream Fiber services on 20 October 2023 from 12:00 AM to 6:00 AM. Inconvenience caused is regretted.",spam
2740,AX-SBIUPI,Dear UPI user A/C X7819 debited by 40.0 on date 19Oct23 trf to SURESHAHEER Refno 329226974348. If not u? call 1800111109. -SBI,banking
2741,SYMSIU,Registrations closing soon! Complete your registration for Symbiosis MBA via SNAP 2023. Click here: bit.ly/SNAP_reg2023,spam
2742,AD-SBIUPI,Dear UPI user A/C X7819 debited by 120.0 on date 19Oct23 trf to Mr EJAZ AYYUB KH Refno 329228422680. If not u? call 1800111109. -SBI,banking
2743,AD-SBIUPI,Dear UPI user A/C X7819 debited by 30.0 on date 19Oct23 trf to PUNE METRO DYNAM Refno 329228588345. If not u? call 1800111109. -SBI,banking
2744,SYMSIU,Clear your doubts around MBA Banking & Finance via webinar by Symbiosis SSBF on 21th Oct @ 2:30. Join Webinar and learn more about SSBF MBA: bit.ly/45Cu0H5,spam
2745,AX-SBIUPI,Dear UPI user A/C X7819 debited by 183.0 on date 19Oct23 trf to MADHAV DILIP JAD Refno 329232149196. If not u? call 1800111109. -SBI,banking
2747,AD-SBIUPI,Dear UPI user A/C X7819 debited by 210.0 on date 20Oct23 trf to KISHOR ARVIND BH Refno 329346618580. If not u? call 1800111109. -SBI,banking
2748,AZ-650024,"Amazon Prime, SonyLiv aur 15+ anya OTT ab aapke hain!Aaj hi book karein Airtel Xstream TV box sirf Rs1500 mein!Paane ke liye click karein i.airtel.in/Online-Savvy",spam
2749,AD-AIRTEL,"Service Update: To improve your experience, we are undertaking a regular maintenance activity. You may experience service disruption on your Airtel Xstream Fiber services on 20 October 2023 from 4:00 PM to 6:00 PM. Inconvenience caused is regretted.",spam
2750,SYMSIU,Only 1 Day left for the webinar hosted by expert Symbiosis faculty. Learn all about pursuing MBA (B&F) @ SSBF. Register Now: bit.ly/45Cu0H5,spam
2751,SYMSIU,Looking for managerial opportunities with reputed media companies? Symbiosis SIMC Pune is the best place. Register today for the MBA (CM) Programme. Visit: bit.ly/3M4klSD,spam
2752,BP-LNKART,"Dear Customer, This Dussehra, get FREE Lenskart GOLD membership & enjoy BUY1 GET1 on latest Eyewear. Shop Now. TnCStore lskt.me/m8App lskt.me/vj",spam
2753,AD-AIRTEL,Service Update: Services for your Airtel Xstream Fiber have been restored. You can now experience seamless services. We are sorry for the inconvenience caused to you and thank you for your patience.,spam
2754,WTITAN,"ROHAN, HURRY! UP TO 40% OFF at Titan World stores! Try on watches from Raga, Edge, Xylys & more. Visit stores https://wtitan.im/ooBjuHSR",spam
2755,BT-APOADM,Admission for MBA at NMIMS is now open! Get the right guidance from us. Apply today! Visit bit.ly/46sLTt8 APOLLO,spam
2756,AX-UNIBEP,"Dear Rohan Kavari, you're shortlisted for Training Opportunity at LinkedIn by the recruiter. Details https://prlf.link/utJ3 Beep",spam
2757,VK-Cracku,"Dear Cracku Student, DashCAT Mock 13 is live now. Please take the mock within the next 3 days. You can take the mock here: https://cracku.in/cat-mock-test/dashcat-13",spam
2758,JD-SBIUPI,Dear UPI user A/C X7819 debited by 34.0 on date 21Oct23 trf to Mr AVINASH CHAND Refno 366071194799. If not u? call 1800111109. -SBI,banking
2759,VD-MAXFSN,Welcome the festive season in style with Max Fashion!Shop from latest collection from 199 onwards.Your best look is a click away.Click m.maxfsn.in/TKEWi1rE,spam
2761,AD-AIRTEL,"Do not miss out on superior indoor coverage with Airtel WiFi Calling! For better experience, change your smartphone settings today. Click u.airtel.in/hKOOl5",spam
2762,AX-SBIUPI,Dear UPI user A/C X7819 debited by 40.0 on date 21Oct23 trf to A D Mart Refno 329468000913. If not u? call 1800111109. -SBI,banking
2763,SYMSIU,Only 1 Hour left for the webinar hosted by expert Symbiosis faculty. Learn all about pursuing MBA (B&F) @ SSBF. Register Now: bit.ly/3FpNO5J,spam
2764,SYMSIU,Only 15 min left for the webinar hosted by expert Symbiosis faculty. Learn all about pursuing MBA (B&F) @ SSBF. Register Now: bit.ly/3FpNO5J,spam
2765,SYMSIU,Symbiosis SSBF webinar on 21st oct @ 2:30  is now Live! Join now to make the most of it. Click to join: bit.ly/3FpNO5J,spam
2766,VK-NSESMS,"NEXTBILLION TECHNOLOGY PRIVATE on 30-09-23 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",banking
2767,SYMSIU,Registrations closing soon! Complete your registration for Symbiosis MBA via SNAP 2023. Click here: bit.ly/SNAP_reg2023,spam
2768,SYMSIU,Looking for managerial opportunities with reputed media companies? Symbiosis SIMC Pune is the best place. Register today for the MBA (CM) Programme. Visit: https://bit.ly/3M4klSD,spam
2769,AX-SBIUPI,Dear UPI user A/C X7819 debited by 34.0 on date 22Oct23 trf to Mr AVINASH CHAND Refno 329536854877. If not u? call 1800111109. -SBI,banking
2770,AZ-650024,"Airtel Prepaid anubhav ko apne dost aur pariwar ke saath sajha karein. Abhi order karein aur free SIM delivery ka anand lein. Order karne ke liye, click i.airtel.in/ret21",spam
2771,AX-SBIUPI,Dear UPI user A/C X7819 debited by 34.0 on date 22Oct23 trf to Reshma Sandip Pa Refno 329506802500. If not u? call 1800111109. -SBI,banking
2772,JD-SBIUPI,Dear UPI user A/C X7819 debited by 34.0 on date 23Oct23 trf to Mr AVINASH CHAND Refno 329697192436. If not u? call 1800111109. -SBI,banking
2773,VK-CRACKU,Special offer - Upgrade to Cracku CAT 1-Month Crash course: https://cracku.in/pay/fi6J8,spam
2774,WTITAN,Visit TITAN WORLD store to discover the exquisite world of watches waiting for you & pick your favorite watch at UPTO 40% off*.Visit Now https://wtitan.im/KGPQluFk,spam
2775,SYMSIU,Symbiosis SSBF makes you corporate ready when you learn new age technologies in the Fintech industry. Apply now for SSBF via SNAP: bit.ly/3Qg1vKL,spam
2776,AZ-650024,"Amazon Prime, SonyLiv aur 15+ anya OTT ab aapke hain!Aaj hi book karein Airtel Xstream TV box sirf Rs1500 mein!Paane ke liye click karein i.airtel.in/Online-Savvy",spam
2777,AX-SBIUPI,Dear UPI user A/C X7819 debited by 36.0 on date 23Oct23 trf to A D Mart Refno 329604270424. If not u? call 1800111109. -SBI,banking
2778,SYMUNI,"90% of top companies are actively looking for MBA graduates. Symbiosis offers you the skills you need, at SIBM NOIDA. Apply via SNAP 2023 http://bit.ly/SN23an",spam
2779,SYMPAR,You've a chance to study industry-oriented practical curriculum. Apply for Symbiosis SSBF MBA in Banking & Finance via SNAP 2023: bit.ly/3Qg1vKL,spam
2780,TM-SYMPAR,You've a chance to study industry-oriented practical curriculum. Apply for Symbiosis SSBF MBA in Banking & Finance via SNAP 2023: bit.ly/3Qg1vKL,spam
2781,BT-APOADM,Admission for MBA at NMIMS is now open! Get the right guidance from us. Apply today! Visit bit.ly/46sLTt8 APOLLO,spam
2782,JD-SBIUPI,Dear UPI user A/C X7819 debited by 40.0 on date 24Oct23 trf to Bhavani Mart Refno 366331961466. If not u? call 1800111109. -SBI,banking
2783,AY-AIRTEL,Aapka Airtel Pack 27-Oct-23 tak manya hai. Aaj hi unlimited pack se recharge karein. Naye pack ki validity is pack ke baad hi shuri hogi i.airtel.in/FDPNew,spam
2784,VM-Shksha,"Dear Yono Games Aspirant, Rs100 has been credited to your account for playing games & win bonus. Reg now https://yonofirst.com",spam
2785,CP-MyGIBS,"PGDM Application Open-2024 | 100% Placements, 160+ MNCs, Avg Pkg 7.4LPA at TATA, Amazon, ITC, Wipro etc - GIBS Bangalore Apply Now https://gibs.edu.in/apply",spam
2786,CP-MyGIBS,"PGDM Application Open-2024 | 100% Placements, 160+ MNCs, Avg Pkg 7.4LPA at TATA, Amazon, ITC, Wipro etc - GIBS Bangalore Apply Now https://gibs.edu.in/apply",spam
2787,CP-MyGIBS,"PGDM Application Open-2024 | 100% Placements, 160+ MNCs, Avg Pkg 7.4LPA at TATA, Amazon, ITC, Wipro etc - GIBS Bangalore Apply Now https://gibs.edu.in/apply",spam
2788,AD-SBIUPI,Dear UPI user A/C X7819 debited by 1000.0 on date 24Oct23 trf to ROHINI VISHNU JO Refno 329706584176. If not u? call 1800111109. -SBI,banking
2789,BT-APOADM,Admission for MBA at NMIMS is now open! Get the right guidance from us. Apply today! Visit bit.ly/46sLTt8 or call us at 9705391232 APOLLO,spam
2790,JK-SBIUPI,Dear UPI user A/C X7819 debited by 40.0 on date 24Oct23 trf to RAJKUMAR KUSHWAH Refno 366308188465. If not u? call 1800111109. -SBI,banking
2791,AD-SBIUPI,Dear UPI user A/C X7819 debited by 60.0 on date 24Oct23 trf to Mr Jai Singh Refno 366320980709. If not u? call 1800111109. -SBI,banking
2792,AD-SBIUPI,Dear UPI user A/C X7819 debited by 110.0 on date 24Oct23 trf to BANGALOREIYANGAR Refno 329716619738. If not u? call 1800111109. -SBI,banking
2793,BT-APOADM,Dear Students Admission Guidance To NMIMS For Guidance only Call Or Whatsapp 9705391232 APOLLO,spam
2794,AZ-650003,"7219XXX184 par pack samapt hone wala hai!Abhi Recharge karein aur anand lein, 1.5GB/din, 100 SMS/din, UL call, 56 din tak, Rs479 mein. Get exclusive ben",spam
2795,AY-AIRTEL,Aapke Airtel Pack ki validity 27-Oct-23 tak hai.Recharge na hone par sewayein band ho sakti hain.Recharge karein: i.airtel.in/FDPNew. Kar lia hai toh ignore karein,spam
2796,VM-SBIBNK,"Dear SBI Customer, Beware of SMSs/ emails asking you to click on a link to update KYC or download any app. If you receive such SMS/email, call 1930 to report.",spam
